          16          58  -31.9050007      -72.2470016      0.638516366     l, k, lat, lon, s
          22          48  -31.8050003      -72.0360031      0.874774635     l, k, lat, lon, s
          32          55  -31.6189995      -72.1679993      0.790682971     l, k, lat, lon, s
          36          12  -31.5820007      -71.2900009      0.303896368     l, k, lat, lon, s
          44          29  -31.4249992      -71.6279984      0.309357166     l, k, lat, lon, s
          44          49  -31.4080009      -72.0329971      0.858759582     l, k, lat, lon, s
          47          32  -31.3680000      -71.6859970      0.287040204     l, k, lat, lon, s
          49          64  -31.3050003      -72.3320007      0.592545986     l, k, lat, lon, s
          66          71  -30.9920006      -72.4550018      0.749988675     l, k, lat, lon, s
          68          48  -30.9769993      -71.9879990      0.687386096     l, k, lat, lon, s
          75          48  -30.8500004      -71.9810028      0.958758116     l, k, lat, lon, s
          77          49  -30.8139992      -71.9990005      0.910536349     l, k, lat, lon, s
          78          39  -30.8040009      -71.7959976      0.858380258     l, k, lat, lon, s
          87          40  -30.6410007      -71.8079987      0.999077439     l, k, lat, lon, s
         102          67  -30.3470001      -72.3349991      0.615310788     l, k, lat, lon, s
         103           1  -30.3829994      -71.0090027      0.345218122     l, k, lat, lon, s
         110          42  -30.2250004      -71.8249969      0.819237888     l, k, lat, lon, s
         113          38  -30.1739998      -71.7419968      0.784023583     l, k, lat, lon, s
         116          14  -30.1389999      -71.2580032      0.267916083     l, k, lat, lon, s
         118          40  -30.0820007      -71.7770004      0.800232649     l, k, lat, lon, s
