           8          56  -32.0499992      -72.2139969      0.930300534     l, k, lat, lon, s
          12          36  -31.9960003      -71.8020020       1.00000000     l, k, lat, lon, s
          18          38  -31.8859997      -71.8369980      0.934984326     l, k, lat, lon, s
          37          53  -31.5310001      -72.1220016      0.797088802     l, k, lat, lon, s
          59          31  -31.1529999      -71.6539993      0.358022660     l, k, lat, lon, s
          63          51  -31.0639992      -72.0540009      0.778550684     l, k, lat, lon, s
          67          29  -31.0100002      -71.6050034      0.293871075     l, k, lat, lon, s
          68          14  -31.0039997      -71.3010025      0.339151710     l, k, lat, lon, s
          71          57  -30.9150009      -72.1669998      0.784016550     l, k, lat, lon, s
          73          47  -30.8869991      -71.9629974      0.790322065     l, k, lat, lon, s
          86          53  -30.6480007      -72.0699997      0.835621417     l, k, lat, lon, s
          89          12  -30.6270008      -71.2419968      0.321780443     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.902980745     l, k, lat, lon, s
          91          65  -30.5470009      -72.3059998      0.768050075     l, k, lat, lon, s
          99          65  -30.4029999      -72.2979965      0.711363554     l, k, lat, lon, s
         107          13  -30.3020000      -71.2460022      0.225645974     l, k, lat, lon, s
         115          19  -30.1529999      -71.3590012      0.326134354     l, k, lat, lon, s
         115          31  -30.1439991      -71.5999985      0.276760995     l, k, lat, lon, s
         120          33  -30.0520000      -71.6350021      0.246016622     l, k, lat, lon, s
         121          49  -30.0209999      -71.9540024      0.827270746     l, k, lat, lon, s
