           3          37  -32.1570015      -71.8310013      0.647624195     l, k, lat, lon, s
          13          48  -31.9669991      -72.0459976      0.798255146     l, k, lat, lon, s
          17           2  -31.9319992      -71.1029968      0.665769100     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027      0.779058397     l, k, lat, lon, s
          27          13  -31.7439995      -71.3180008      0.643823922     l, k, lat, lon, s
          40          46  -31.4829998      -71.9769974      0.708237410     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.758477390     l, k, lat, lon, s
          47          51  -31.3519993      -72.0709991      0.792148232     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.930603027     l, k, lat, lon, s
          54          53  -31.2240009      -72.1039963      0.820500374     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.855184376     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.739344060     l, k, lat, lon, s
          79          35  -30.7889996      -71.7149963      0.790579736     l, k, lat, lon, s
          79          64  -30.7639999      -72.2990036      0.926915467     l, k, lat, lon, s
          80          62  -30.7479992      -72.2580032      0.880256355     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967      0.628620327     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035      0.744829953     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.678164303     l, k, lat, lon, s
         109           5  -30.2719994      -71.0839996      0.670944691     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.632504821     l, k, lat, lon, s
