           8           4  -32.0929985      -71.1520004      0.970490277     l, k, lat, lon, s
          23          63  -31.7740002      -72.3410034      0.754700422     l, k, lat, lon, s
          25          27  -31.7689991      -71.6050034      0.965680778     l, k, lat, lon, s
          29          23  -31.7000008      -71.5199966      0.925606012     l, k, lat, lon, s
          36          37  -31.5620003      -71.7979965      0.762858808     l, k, lat, lon, s
          42          14  -31.4729996      -71.3249969      0.803303123     l, k, lat, lon, s
          45          37  -31.3999996      -71.7890015      0.847186446     l, k, lat, lon, s
          48           4  -31.3719997      -71.1169968      0.868597090     l, k, lat, lon, s
          53          33  -31.2590008      -71.6999969      0.829651594     l, k, lat, lon, s
          53          58  -31.2380009      -72.2060013      0.778772235     l, k, lat, lon, s
          53          67  -31.2299995      -72.3889999      0.778203130     l, k, lat, lon, s
          54          59  -31.2189999      -72.2259979      0.714518487     l, k, lat, lon, s
          55          57  -31.2029991      -72.1839981      0.609473884     l, k, lat, lon, s
          55          59  -31.2010002      -72.2239990      0.627652645     l, k, lat, lon, s
          61          27  -31.1200008      -71.5709991       1.00000000     l, k, lat, lon, s
          68          54  -30.9710007      -72.1090012      0.855212331     l, k, lat, lon, s
          74          23  -30.8889999      -71.4779968      0.805414498     l, k, lat, lon, s
          84          11  -30.7180004      -71.2269974      0.881397486     l, k, lat, lon, s
          87          29  -30.6499996      -71.5859985      0.867100179     l, k, lat, lon, s
          94           9  -30.5389996      -71.1770020      0.906979740     l, k, lat, lon, s
