          13          23  -31.9880009      -71.5350037      0.777551711     l, k, lat, lon, s
          16          45  -31.9160004      -71.9810028      0.729949534     l, k, lat, lon, s
          18          30  -31.8929996      -71.6729965      0.739308298     l, k, lat, lon, s
          26          31  -31.7479992      -71.6859970      0.688469231     l, k, lat, lon, s
          27          43  -31.7199993      -71.9290009      0.733545125     l, k, lat, lon, s
          36           6  -31.5869999      -71.1679993      0.795003474     l, k, lat, lon, s
          49          58  -31.3099995      -72.2109985      0.638879836     l, k, lat, lon, s
          64          12  -31.0779991      -71.2649994      0.761310756     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.754173338     l, k, lat, lon, s
          67          36  -31.0049992      -71.7470016      0.788815498     l, k, lat, lon, s
          73          22  -30.9080009      -71.4580002      0.814306557     l, k, lat, lon, s
          74          19  -30.8920002      -71.3970032      0.745042920     l, k, lat, lon, s
          74          26  -30.8869991      -71.5380020      0.986746550     l, k, lat, lon, s
          79          20  -30.8010006      -71.4120026      0.779761434     l, k, lat, lon, s
          84          65  -30.6730003      -72.3140030      0.837902546     l, k, lat, lon, s
          87          38  -30.6429996      -71.7669983       1.00000000     l, k, lat, lon, s
          94          16  -30.5340004      -71.3180008      0.755386233     l, k, lat, lon, s
         101          63  -30.3689995      -72.2549973      0.750448883     l, k, lat, lon, s
         102          21  -30.3859997      -71.4110031      0.769410908     l, k, lat, lon, s
         117          22  -30.1149998      -71.4179993      0.733311772     l, k, lat, lon, s
