          27           2  -31.7530003      -71.0709991      0.770726442     l, k, lat, lon, s
          32          27  -31.6429996      -71.5940018      0.880991220     l, k, lat, lon, s
          37          21  -31.5580006      -71.4619980      0.612731755     l, k, lat, lon, s
          42          18  -31.4699993      -71.3949966      0.764089763     l, k, lat, lon, s
          42          44  -31.4480000      -71.9410019      0.764839947     l, k, lat, lon, s
          56          69  -31.1730003      -72.4509964      0.776073992     l, k, lat, lon, s
          75          54  -30.8449993      -72.1159973      0.762037754     l, k, lat, lon, s
          82          14  -30.7520008      -71.2750015      0.782279193     l, k, lat, lon, s
          84          63  -30.6739998      -72.2939987       1.00000000     l, k, lat, lon, s
          85          67  -30.6520004      -72.3769989      0.942409456     l, k, lat, lon, s
          90          53  -30.5750008      -72.0800018      0.723390996     l, k, lat, lon, s
          92          37  -30.5529995      -71.7450027      0.766435683     l, k, lat, lon, s
          98          64  -30.4209995      -72.3000031      0.881527960     l, k, lat, lon, s
         104          23  -30.3490009      -71.4420013      0.751563013     l, k, lat, lon, s
         110          46  -30.2210007      -71.9140015      0.800029278     l, k, lat, lon, s
         111           6  -30.2360001      -71.0830002      0.759079456     l, k, lat, lon, s
         113          49  -30.1639996      -71.9729996      0.572723091     l, k, lat, lon, s
         114          51  -30.1450005      -72.0130005      0.471724838     l, k, lat, lon, s
         117           1  -30.1310005      -70.9739990      0.791743219     l, k, lat, lon, s
         120          15  -30.0669994      -71.2610016      0.471967161     l, k, lat, lon, s
