           5          42  -32.1170006      -71.9369965      0.669721544     l, k, lat, lon, s
          15          34  -31.9430008      -71.7580032      0.553035200     l, k, lat, lon, s
          16          15  -31.9410000      -71.3560028      0.931366742     l, k, lat, lon, s
          18          43  -31.8810005      -71.9449997      0.709684193     l, k, lat, lon, s
          29          23  -31.7000008      -71.5120010      0.747618556     l, k, lat, lon, s
          30          58  -31.6520004      -72.2480011      0.698431075     l, k, lat, lon, s
          35          13  -31.6000004      -71.2959976      0.908011138     l, k, lat, lon, s
          36          37  -31.5620003      -71.8000031      0.738075912     l, k, lat, lon, s
          42          14  -31.4729996      -71.3109970       1.00000000     l, k, lat, lon, s
          53          67  -31.2290001      -72.4120026      0.836903751     l, k, lat, lon, s
          55          57  -31.2019997      -72.1999969      0.672303915     l, k, lat, lon, s
          60          67  -31.1030006      -72.4039993      0.862367332     l, k, lat, lon, s
          61          27  -31.1200008      -71.5660019      0.808729947     l, k, lat, lon, s
          68          54  -30.9710007      -72.1240005      0.554280400     l, k, lat, lon, s
          74          23  -30.8889999      -71.4700012      0.877033889     l, k, lat, lon, s
          87          24  -30.6539993      -71.4789963      0.873949409     l, k, lat, lon, s
          87          29  -30.6499996      -71.5830002      0.834643900     l, k, lat, lon, s
          94           9  -30.5400009      -71.1600037      0.630322456     l, k, lat, lon, s
          99           8  -30.4500008      -71.1350021      0.602966845     l, k, lat, lon, s
         119          11  -30.0879993      -71.1790009      0.736643553     l, k, lat, lon, s
