           3          37  -32.1570015      -71.8330002      0.648627758     l, k, lat, lon, s
          13          48  -31.9669991      -72.0559998      0.758528829     l, k, lat, lon, s
          17           2  -31.9330006      -71.0800018      0.700489819     l, k, lat, lon, s
          26          53  -31.7280006      -72.1470032      0.631563008     l, k, lat, lon, s
          27          13  -31.7439995      -71.3030014      0.759285688     l, k, lat, lon, s
          40          46  -31.4820004      -71.9850006      0.635370791     l, k, lat, lon, s
          41          51  -31.4599991      -72.0889969      0.675048530     l, k, lat, lon, s
          47          51  -31.3519993      -72.0830002      0.803223133     l, k, lat, lon, s
          49          54  -31.3129997      -72.1439972      0.624908805     l, k, lat, lon, s
          54          53  -31.2240009      -72.1179962      0.679880679     l, k, lat, lon, s
          56          69  -31.1730003      -72.4509964      0.649879277     l, k, lat, lon, s
          73          28  -30.9029999      -71.5749969      0.532272816     l, k, lat, lon, s
          79          35  -30.7889996      -71.7160034      0.622403979     l, k, lat, lon, s
          79          64  -30.7630005      -72.3209991      0.956858456     l, k, lat, lon, s
          80          62  -30.7469997      -72.2779999      0.979729176     l, k, lat, lon, s
          82          31  -30.7390003      -71.6289978      0.702966392     l, k, lat, lon, s
          92          35  -30.5550003      -71.7030029      0.537354589     l, k, lat, lon, s
         104          17  -30.3530006      -71.3170013      0.697178364     l, k, lat, lon, s
         109           5  -30.2719994      -71.0640030      0.676895499     l, k, lat, lon, s
         117          69  -30.0739994      -72.3830032      0.675972581     l, k, lat, lon, s
