          19          15  -31.8859997      -71.3659973      0.756242931     l, k, lat, lon, s
          19          69  -31.8400002      -72.4670029      0.616237581     l, k, lat, lon, s
          32          35  -31.6359997      -71.7610016      0.733435035     l, k, lat, lon, s
          49          43  -31.3230000      -71.9069977      0.650405347     l, k, lat, lon, s
          67          45  -30.9969997      -71.9290009      0.583270133     l, k, lat, lon, s
          67          64  -30.9799995      -72.3119965      0.711669266     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.749304593     l, k, lat, lon, s
          74          49  -30.8680000      -72.0019989      0.614337385     l, k, lat, lon, s
          80           8  -30.7919998      -71.1699982      0.871173561     l, k, lat, lon, s
          80          30  -30.7749996      -71.6129990      0.706704497     l, k, lat, lon, s
          80          33  -30.7730007      -71.6740036      0.658290267     l, k, lat, lon, s
          82          58  -30.7159996      -72.1750031      0.763196409     l, k, lat, lon, s
          87          22  -30.6550007      -71.4449997      0.716184735     l, k, lat, lon, s
          88          70  -30.5970001      -72.4100037      0.709379435     l, k, lat, lon, s
         109           3  -30.2730007      -71.0439987       1.00000000     l, k, lat, lon, s
         109          31  -30.2520008      -71.6060028      0.812885344     l, k, lat, lon, s
         112           7  -30.2159996      -71.1220016      0.976999640     l, k, lat, lon, s
         118          20  -30.0979996      -71.3769989      0.909436822     l, k, lat, lon, s
         118          44  -30.0790005      -71.8570023      0.612627029     l, k, lat, lon, s
         121          23  -30.0419998      -71.4339981      0.877136827     l, k, lat, lon, s
