           8          56  -32.0499992      -72.2139969      0.700214148     l, k, lat, lon, s
          12          36  -31.9960003      -71.8020020      0.777779520     l, k, lat, lon, s
          18          38  -31.8859997      -71.8369980      0.654416621     l, k, lat, lon, s
          37          53  -31.5310001      -72.1220016      0.635015130     l, k, lat, lon, s
          59          31  -31.1529999      -71.6539993      0.902793705     l, k, lat, lon, s
          63          51  -31.0639992      -72.0540009      0.599308848     l, k, lat, lon, s
          67          29  -31.0100002      -71.6050034      0.779038370     l, k, lat, lon, s
          68          14  -31.0039997      -71.3010025      0.925601661     l, k, lat, lon, s
          71          57  -30.9150009      -72.1669998      0.651975453     l, k, lat, lon, s
          73          47  -30.8869991      -71.9629974      0.696181655     l, k, lat, lon, s
          86          53  -30.6480007      -72.0699997      0.710150838     l, k, lat, lon, s
          89          12  -30.6270008      -71.2419968       1.00000000     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.667161465     l, k, lat, lon, s
          91          65  -30.5470009      -72.3059998      0.635177076     l, k, lat, lon, s
          99          65  -30.4029999      -72.2979965      0.811042428     l, k, lat, lon, s
         107          13  -30.3020000      -71.2460022      0.814462364     l, k, lat, lon, s
         115          19  -30.1529999      -71.3590012      0.883301377     l, k, lat, lon, s
         115          31  -30.1439991      -71.5999985      0.852416992     l, k, lat, lon, s
         120          33  -30.0520000      -71.6350021      0.826390326     l, k, lat, lon, s
         121          49  -30.0209999      -71.9540024      0.745192766     l, k, lat, lon, s
