          13          48  -31.9669991      -72.0459976      0.869132817     l, k, lat, lon, s
          19          15  -31.8859997      -71.3659973      0.858446181     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027      0.720318079     l, k, lat, lon, s
          32          35  -31.6359997      -71.7610016      0.843534172     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.896388233     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.740421355     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.840811551     l, k, lat, lon, s
          67          64  -30.9799995      -72.3119965      0.781111479     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.764212966     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.667987466     l, k, lat, lon, s
          74          49  -30.8680000      -72.0019989      0.758289635     l, k, lat, lon, s
          80          30  -30.7749996      -71.6129990      0.892168581     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967       1.00000000     l, k, lat, lon, s
          87          22  -30.6550007      -71.4449997      0.861294985     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035      0.944888353     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.955412388     l, k, lat, lon, s
         109          31  -30.2520008      -71.6060028      0.881040454     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.652486920     l, k, lat, lon, s
         118          44  -30.0790005      -71.8570023      0.715992808     l, k, lat, lon, s
         121          23  -30.0419998      -71.4339981      0.876250505     l, k, lat, lon, s
