          10          30  -32.0369987      -71.6809998      0.743045628     l, k, lat, lon, s
          28          25  -31.7159996      -71.5619965      0.811312616     l, k, lat, lon, s
          31          19  -31.6669998      -71.4369965      0.848987997     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.804172993     l, k, lat, lon, s
          36          16  -31.5790005      -71.3710022      0.893690109     l, k, lat, lon, s
          37          12  -31.5639992      -71.2890015      0.530097961     l, k, lat, lon, s
          38          11  -31.5470009      -71.2679977      0.412857771     l, k, lat, lon, s
          54          59  -31.2189999      -72.2259979      0.736735404     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.801344037     l, k, lat, lon, s
          64          58  -31.0400009      -72.1949997      0.979246676     l, k, lat, lon, s
          72          53  -30.8999996      -72.0849991      0.669691384     l, k, lat, lon, s
          75          17  -30.8759995      -71.3560028      0.870536804     l, k, lat, lon, s
          85          26  -30.6879997      -71.5279999      0.911688387     l, k, lat, lon, s
          88          38  -30.6250000      -71.7659988      0.783524156     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992      0.750646651     l, k, lat, lon, s
         103          43  -30.3500004      -71.8519974      0.705836296     l, k, lat, lon, s
         114           2  -30.1840000      -71.0199966       1.00000000     l, k, lat, lon, s
         115          55  -30.1240005      -72.0800018      0.579232097     l, k, lat, lon, s
         118          12  -30.1040001      -71.2170029      0.794584632     l, k, lat, lon, s
         120          33  -30.0520000      -71.6350021      0.709198058     l, k, lat, lon, s
