          19          15  -31.8869991      -71.3529968      0.590544760     l, k, lat, lon, s
          19          69  -31.8390007      -72.4929962      0.478424340     l, k, lat, lon, s
          32          35  -31.6359997      -71.7620010      0.577726603     l, k, lat, lon, s
          49          43  -31.3230000      -71.9130020      0.606186569     l, k, lat, lon, s
          67          45  -30.9969997      -71.9369965      0.556453586     l, k, lat, lon, s
          67          64  -30.9790001      -72.3339996      0.644523799     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.548207045     l, k, lat, lon, s
          74          49  -30.8670006      -72.0130005      0.531158209     l, k, lat, lon, s
          80           8  -30.7929993      -71.1510010      0.578483760     l, k, lat, lon, s
          80          30  -30.7749996      -71.6100006      0.867020726     l, k, lat, lon, s
          80          33  -30.7730007      -71.6729965      0.871403217     l, k, lat, lon, s
          82          58  -30.7150002      -72.1920013      0.526153982     l, k, lat, lon, s
          87          22  -30.6560001      -71.4369965      0.685154498     l, k, lat, lon, s
          88          70  -30.5949993      -72.4359970      0.662512720     l, k, lat, lon, s
         109           3  -30.2740002      -71.0220032      0.390941203     l, k, lat, lon, s
         109          31  -30.2520008      -71.6029968      0.526355982     l, k, lat, lon, s
         112           7  -30.2169991      -71.1029968      0.490595341     l, k, lat, lon, s
         118          20  -30.0990009      -71.3669968      0.572121084     l, k, lat, lon, s
         118          44  -30.0790005      -71.8639984      0.443462431     l, k, lat, lon, s
         121          23  -30.0419998      -71.4260025      0.564234138     l, k, lat, lon, s
