           7          14  -32.1040001      -71.3430023      0.695267498     l, k, lat, lon, s
           8          20  -32.0810013      -71.4690018      0.864063144     l, k, lat, lon, s
          26          23  -31.7539997      -71.5149994      0.671672821     l, k, lat, lon, s
          38          26  -31.5359993      -71.5670013      0.697437406     l, k, lat, lon, s
          50          28  -31.3180008      -71.5970001      0.645078480     l, k, lat, lon, s
          52          22  -31.2870007      -71.4690018      0.823869467     l, k, lat, lon, s
          53          19  -31.2709999      -71.4059982      0.904355943     l, k, lat, lon, s
          53          20  -31.2700005      -71.4270020      0.937086105     l, k, lat, lon, s
          54          16  -31.2549992      -71.3420029      0.847662687     l, k, lat, lon, s
          60          48  -31.1200008      -72.0070038      0.544933259     l, k, lat, lon, s
          62          53  -31.0799999      -72.1090012       1.00000000     l, k, lat, lon, s
          85          21  -30.6930008      -71.4179993      0.735707045     l, k, lat, lon, s
          89          25  -30.6170006      -71.4980011      0.634066880     l, k, lat, lon, s
          94          42  -30.5130005      -71.8470001      0.599641502     l, k, lat, lon, s
          99          31  -30.4319992      -71.6129990      0.698860526     l, k, lat, lon, s
         102          32  -30.3770008      -71.6309967      0.505743504     l, k, lat, lon, s
         103          34  -30.3579998      -71.6709976      0.671120465     l, k, lat, lon, s
         105          64  -30.2950001      -72.2919998      0.751401842     l, k, lat, lon, s
         106          56  -30.2840004      -72.1250000      0.487632632     l, k, lat, lon, s
         111          24  -30.2220001      -71.4560013      0.678189635     l, k, lat, lon, s
