           3          12  -32.1769981      -71.3040009      0.722949564     l, k, lat, lon, s
           6          20  -32.1170006      -71.4710007      0.710523427     l, k, lat, lon, s
          18           5  -31.9120007      -71.1419983      0.504280388     l, k, lat, lon, s
          20          27  -31.8589993      -71.6050034      0.683911502     l, k, lat, lon, s
          21          53  -31.8180008      -72.1529999      0.814370811     l, k, lat, lon, s
          23          34  -31.7989998      -71.7500000      0.713689744     l, k, lat, lon, s
          35          47  -31.5720005      -72.0120010      0.654331326     l, k, lat, lon, s
          38          57  -31.5079994      -72.2190018      0.596124470     l, k, lat, lon, s
          57          10  -31.2059994      -71.2129974      0.675759315     l, k, lat, lon, s
          59           7  -31.1720009      -71.1490021      0.645729184     l, k, lat, lon, s
          65           1  -31.0680008      -71.0179977      0.764271915     l, k, lat, lon, s
          67          34  -31.0060005      -71.7060013      0.618397951     l, k, lat, lon, s
          67          63  -30.9799995      -72.3130035      0.631854415     l, k, lat, lon, s
          68          49  -30.9750004      -72.0189972      0.447262317     l, k, lat, lon, s
          84          69  -30.6679993      -72.4189987      0.713765264     l, k, lat, lon, s
          91          59  -30.5520000      -72.2040024      0.786514401     l, k, lat, lon, s
          93          30  -30.5410004      -71.5979996      0.649232328     l, k, lat, lon, s
          95          54  -30.4839993      -72.0950012      0.515819252     l, k, lat, lon, s
          98          59  -30.4260006      -72.1959991      0.760850787     l, k, lat, lon, s
         106          42  -30.2970009      -71.8349991       1.00000000     l, k, lat, lon, s
