          27          31  -31.7299995      -71.6829987      0.739322007     l, k, lat, lon, s
          30          26  -31.6800003      -71.5739975      0.688279450     l, k, lat, lon, s
          39           3  -31.5359993      -71.0820007      0.691970885     l, k, lat, lon, s
          40          12  -31.5109997      -71.2699966      0.775481522     l, k, lat, lon, s
          42          25  -31.4640007      -71.5419998      0.750385106     l, k, lat, lon, s
          47           3  -31.3910007      -71.0749969      0.647437751     l, k, lat, lon, s
          47          70  -31.3339996      -72.4820023      0.741868138     l, k, lat, lon, s
          52           1  -31.3029995      -71.0289993      0.694703043     l, k, lat, lon, s
          54          67  -31.2110004      -72.4110031       1.00000000     l, k, lat, lon, s
          68          23  -30.9969997      -71.4749985      0.901352048     l, k, lat, lon, s
          86          50  -30.6499996      -72.0210037      0.861529827     l, k, lat, lon, s
          88           8  -30.6490002      -71.1439972      0.696838439     l, k, lat, lon, s
          88          29  -30.6320000      -71.5820007      0.780250192     l, k, lat, lon, s
          89          53  -30.5930004      -72.0810013      0.760237932     l, k, lat, lon, s
          91          20  -30.5849991      -71.3919983      0.835434973     l, k, lat, lon, s
          96          56  -30.4640007      -72.1360016      0.695113420     l, k, lat, lon, s
          97          52  -30.4500008      -72.0520020      0.759930253     l, k, lat, lon, s
         107          25  -30.2929993      -71.4810028      0.498901606     l, k, lat, lon, s
         112          17  -30.2089996      -71.3099976      0.708447158     l, k, lat, lon, s
         116          30  -30.1270008      -71.5759964      0.456544638     l, k, lat, lon, s
