          14          41  -31.9549999      -71.9069977      0.906221390     l, k, lat, lon, s
          14          49  -31.9480000      -72.0759964      0.724282384     l, k, lat, lon, s
          16           3  -31.9500008      -71.1019974      0.850798666     l, k, lat, lon, s
          16          58  -31.9039993      -72.2639999      0.760374486     l, k, lat, lon, s
          20          34  -31.8530006      -71.7529984      0.817531288     l, k, lat, lon, s
          29          11  -31.7099991      -71.2590027      0.809136331     l, k, lat, lon, s
          34          32  -31.6030006      -71.6969986      0.789512753     l, k, lat, lon, s
          41          32  -31.4769993      -71.6900024      0.774274290     l, k, lat, lon, s
          45          47  -31.3910007      -72.0009995      0.916492283     l, k, lat, lon, s
          45          70  -31.3700008      -72.4840012      0.620532036     l, k, lat, lon, s
          75          46  -30.8519993      -71.9489975      0.824324965     l, k, lat, lon, s
          84          23  -30.7089996      -71.4599991      0.698723733     l, k, lat, lon, s
          94           7  -30.5410004      -71.1179962      0.749753356     l, k, lat, lon, s
         100          15  -30.4270000      -71.2789993      0.623761356     l, k, lat, lon, s
         102          68  -30.3449993      -72.3789978      0.747891009     l, k, lat, lon, s
         113          30  -30.1809998      -71.5790024      0.879680634     l, k, lat, lon, s
         117          27  -30.1110001      -71.5130005      0.750356972     l, k, lat, lon, s
         118          10  -30.1060009      -71.1600037      0.782360196     l, k, lat, lon, s
         119          28  -30.0739994      -71.5319977      0.828663647     l, k, lat, lon, s
         120          59  -30.0289993      -72.1729965       1.00000000     l, k, lat, lon, s
