          19          15  -31.8869991      -71.3529968      0.585366070     l, k, lat, lon, s
          19          69  -31.8390007      -72.4929962      0.474893123     l, k, lat, lon, s
          32          35  -31.6359997      -71.7620010      0.573110878     l, k, lat, lon, s
          49          43  -31.3230000      -71.9130020      0.598313689     l, k, lat, lon, s
          67          45  -30.9969997      -71.9369965      0.560113668     l, k, lat, lon, s
          67          64  -30.9790001      -72.3339996      0.638982892     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.534845412     l, k, lat, lon, s
          74          49  -30.8670006      -72.0130005      0.525718153     l, k, lat, lon, s
          80           8  -30.7929993      -71.1510010      0.557720065     l, k, lat, lon, s
          80          30  -30.7749996      -71.6100006      0.863722742     l, k, lat, lon, s
          80          33  -30.7730007      -71.6729965      0.880957782     l, k, lat, lon, s
          82          58  -30.7150002      -72.1920013      0.518127620     l, k, lat, lon, s
          87          22  -30.6560001      -71.4369965      0.646216869     l, k, lat, lon, s
          88          70  -30.5949993      -72.4359970      0.662975013     l, k, lat, lon, s
         109           3  -30.2740002      -71.0220032      0.383960128     l, k, lat, lon, s
         109          31  -30.2520008      -71.6029968      0.547774911     l, k, lat, lon, s
         112           7  -30.2169991      -71.1029968      0.495481372     l, k, lat, lon, s
         118          20  -30.0990009      -71.3669968      0.576016068     l, k, lat, lon, s
         118          44  -30.0790005      -71.8639984      0.441495031     l, k, lat, lon, s
         121          23  -30.0419998      -71.4260025      0.548328459     l, k, lat, lon, s
