          18          28  -31.8939991      -71.6279984      0.865606785     l, k, lat, lon, s
          19          57  -31.8509998      -72.2389984      0.877295256     l, k, lat, lon, s
          29          60  -31.6679993      -72.2919998      0.990026653     l, k, lat, lon, s
          36          63  -31.5389996      -72.3470001      0.644609630     l, k, lat, lon, s
          39          53  -31.4939995      -72.1340027      0.810568631     l, k, lat, lon, s
          42          24  -31.4650002      -71.5210037      0.829467356     l, k, lat, lon, s
          54          23  -31.2500000      -71.4889984      0.747622013     l, k, lat, lon, s
          56          26  -31.2110004      -71.5500031      0.661509395     l, k, lat, lon, s
          63          33  -31.0790005      -71.6890030      0.876347244     l, k, lat, lon, s
          65          13  -31.0590000      -71.2689972      0.881237149     l, k, lat, lon, s
          77          31  -30.8290005      -71.6340027      0.650169551     l, k, lat, lon, s
          88          39  -30.6240005      -71.7900009      0.653886855     l, k, lat, lon, s
          88          45  -30.6180000      -71.9150009      0.683486462     l, k, lat, lon, s
          93          40  -30.5330009      -71.8059998      0.808602035     l, k, lat, lon, s
          94          30  -30.5230007      -71.5970001      0.673185468     l, k, lat, lon, s
         103          30  -30.3610001      -71.5879974      0.674849510     l, k, lat, lon, s
         105          65  -30.2940006      -72.3130035       1.00000000     l, k, lat, lon, s
         108           4  -30.2910004      -71.0439987      0.911303401     l, k, lat, lon, s
         114          10  -30.1779995      -71.1630020      0.891906679     l, k, lat, lon, s
         118           4  -30.1110001      -71.0350037      0.910867810     l, k, lat, lon, s
