          18          50  -31.8750000      -72.0930023      0.563544512     l, k, lat, lon, s
          18          52  -31.8729992      -72.1350021      0.526211381     l, k, lat, lon, s
          21          14  -31.8519993      -71.3300018      0.816495478     l, k, lat, lon, s
          24          17  -31.7950001      -71.3899994      0.769922912     l, k, lat, lon, s
          26          30  -31.7479992      -71.6630020      0.731020331     l, k, lat, lon, s
          34          70  -31.5680008      -72.4970016      0.754784048     l, k, lat, lon, s
          37          61  -31.5230007      -72.3040009       1.00000000     l, k, lat, lon, s
          48          44  -31.3400002      -71.9349976      0.794383705     l, k, lat, lon, s
          51           9  -31.3150005      -71.1979980      0.777174592     l, k, lat, lon, s
          54          68  -31.2099991      -72.4319992      0.678654671     l, k, lat, lon, s
          56           9  -31.2250004      -71.1930008      0.608271360     l, k, lat, lon, s
          56          37  -31.2019997      -71.7799988      0.793318391     l, k, lat, lon, s
          70          15  -30.9680004      -71.3059998      0.751783609     l, k, lat, lon, s
          79          68  -30.7590008      -72.4039993      0.751029611     l, k, lat, lon, s
          80          50  -30.7579994      -72.0279999      0.531470835     l, k, lat, lon, s
          83          32  -30.7199993      -71.6490021      0.538378119     l, k, lat, lon, s
          84          15  -30.7150002      -71.2939987      0.561617970     l, k, lat, lon, s
          84          37  -30.6970005      -71.7519989      0.793663025     l, k, lat, lon, s
          94          10  -30.5389996      -71.1809998      0.767315388     l, k, lat, lon, s
          94          48  -30.5079994      -71.9710007      0.552470803     l, k, lat, lon, s
