           4          66  -32.1119995      -72.4459991       1.00000000     l, k, lat, lon, s
          15           8  -31.9640007      -71.2080002      0.807715237     l, k, lat, lon, s
          17          56  -31.8880005      -72.2200012      0.875943184     l, k, lat, lon, s
          20          36  -31.8509998      -71.7949982      0.851016343     l, k, lat, lon, s
          24          68  -31.7500000      -72.4660034      0.816500127     l, k, lat, lon, s
          25          30  -31.7660007      -71.6640015      0.800848305     l, k, lat, lon, s
          30          19  -31.6849995      -71.4270020      0.785337925     l, k, lat, lon, s
          33          35  -31.6180000      -71.7610016      0.817845702     l, k, lat, lon, s
          51          46  -31.2840004      -71.9739990      0.960060179     l, k, lat, lon, s
          64          65  -31.0330009      -72.3580017      0.959122658     l, k, lat, lon, s
          66          50  -31.0100002      -72.0419998      0.579589069     l, k, lat, lon, s
          77          49  -30.8129997      -72.0100021      0.910865009     l, k, lat, lon, s
          81          22  -30.7639999      -71.4420013      0.807765961     l, k, lat, lon, s
          86          55  -30.6459999      -72.1259995      0.749356866     l, k, lat, lon, s
          98          36  -30.4459991      -71.7180023      0.674880326     l, k, lat, lon, s
         102          55  -30.3570004      -72.1090012      0.950110257     l, k, lat, lon, s
         105          26  -30.3279991      -71.5029984      0.851786733     l, k, lat, lon, s
         109          43  -30.2420006      -71.8519974      0.841270208     l, k, lat, lon, s
         114           2  -30.1840000      -70.9970016      0.746551692     l, k, lat, lon, s
         119           8  -30.0900002      -71.1169968      0.676030636     l, k, lat, lon, s
