           2          17  -32.1910019      -71.4229965      0.138143465     l, k, lat, lon, s
           3          37  -32.1570015      -71.8310013      0.587784827     l, k, lat, lon, s
          10          36  -32.0320015      -71.8040009      0.567341447     l, k, lat, lon, s
          17           2  -31.9319992      -71.1029968      0.134844333     l, k, lat, lon, s
          27          13  -31.7439995      -71.3180008      0.147307560     l, k, lat, lon, s
          40          46  -31.4829998      -71.9769974      0.736523211     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.191011578     l, k, lat, lon, s
          43          44  -31.4300003      -71.9329987      0.777884424     l, k, lat, lon, s
          45          66  -31.3750000      -72.3769989      0.602498293     l, k, lat, lon, s
          47          51  -31.3519993      -72.0709991      0.667329729     l, k, lat, lon, s
          54          53  -31.2240009      -72.1039963      0.747210622     l, k, lat, lon, s
          59          61  -31.1270008      -72.2610016      0.562616765     l, k, lat, lon, s
          69          56  -30.9519997      -72.1490021      0.651834607     l, k, lat, lon, s
          79          35  -30.7889996      -71.7149963      0.634309888     l, k, lat, lon, s
          79          64  -30.7639999      -72.2990036      0.903912365     l, k, lat, lon, s
          80          62  -30.7479992      -72.2580032      0.931906700     l, k, lat, lon, s
          91          48  -30.5620003      -71.9649963      0.672955632     l, k, lat, lon, s
         109           5  -30.2719994      -71.0839996      0.156709895     l, k, lat, lon, s
         117          25  -30.1119995      -71.4779968      0.164691880     l, k, lat, lon, s
         121          19  -30.0450001      -71.3539963      0.169677719     l, k, lat, lon, s
