           7           7  -32.1080017      -71.2139969      0.244997740     l, k, lat, lon, s
          10          30  -32.0369987      -71.6809998      0.225407153     l, k, lat, lon, s
          12          49  -31.9850006      -72.0670013      0.733095884     l, k, lat, lon, s
          36          16  -31.5790005      -71.3710022      0.183601499     l, k, lat, lon, s
          37          12  -31.5639992      -71.2890015      0.164444134     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.184453905     l, k, lat, lon, s
          38          27  -31.5349998      -71.5930023      0.174452156     l, k, lat, lon, s
          48           6  -31.3700008      -71.1569977      0.256593317     l, k, lat, lon, s
          54          59  -31.2189999      -72.2259979      0.830640554     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.799439251     l, k, lat, lon, s
          64          58  -31.0400009      -72.1949997      0.904118657     l, k, lat, lon, s
          72          53  -30.8999996      -72.0849991      0.889690876     l, k, lat, lon, s
          83          70  -30.6870003      -72.4160004      0.677259862     l, k, lat, lon, s
          84          55  -30.6819992      -72.1129990      0.698571086     l, k, lat, lon, s
          88          38  -30.6250000      -71.7659988       1.00000000     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.970918357     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.796206534     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992      0.971053600     l, k, lat, lon, s
          95          24  -30.5100002      -71.4779968      0.219817594     l, k, lat, lon, s
         118          12  -30.1040001      -71.2170029      0.192129552     l, k, lat, lon, s
