           3          37  -32.1570015      -71.8310013      0.803902268     l, k, lat, lon, s
          13          48  -31.9669991      -72.0459976      0.849926174     l, k, lat, lon, s
          17           2  -31.9319992      -71.1029968      0.264253318     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027      0.767191589     l, k, lat, lon, s
          27          13  -31.7439995      -71.3180008      0.172347605     l, k, lat, lon, s
          40          46  -31.4829998      -71.9769974      0.730326414     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.795665443     l, k, lat, lon, s
          47          51  -31.3519993      -72.0709991      0.844617724     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.899770081     l, k, lat, lon, s
          54          53  -31.2240009      -72.1039963      0.764519215     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.640532851     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.266102046     l, k, lat, lon, s
          79          35  -30.7889996      -71.7149963      0.998963177     l, k, lat, lon, s
          79          64  -30.7639999      -72.2990036      0.947720110     l, k, lat, lon, s
          80          62  -30.7479992      -72.2580032      0.877873600     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967      0.230239183     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035      0.979876637     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.256265014     l, k, lat, lon, s
         109           5  -30.2719994      -71.0839996      0.227963939     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.534489930     l, k, lat, lon, s
