           4          25  -32.1489983      -71.5849991      0.311220914     l, k, lat, lon, s
          10          59  -32.0120010      -72.2740021      0.948881924     l, k, lat, lon, s
          18          28  -31.8939991      -71.6330032      0.337496817     l, k, lat, lon, s
          26          45  -31.7360001      -71.9710007      0.855823815     l, k, lat, lon, s
          29          47  -31.6800003      -72.0090027      0.873801053     l, k, lat, lon, s
          29          60  -31.6690006      -72.2730026      0.740059733     l, k, lat, lon, s
          36          63  -31.5400009      -72.3259964      0.903495312     l, k, lat, lon, s
          39          53  -31.4950008      -72.1200027      0.771269560     l, k, lat, lon, s
          40          48  -31.4810009      -72.0169983      0.694859147     l, k, lat, lon, s
          42          24  -31.4650002      -71.5279999      0.240837529     l, k, lat, lon, s
          55          46  -31.2129993      -71.9609985      0.977707744     l, k, lat, lon, s
          63          33  -31.0790005      -71.6900024      0.222669795     l, k, lat, lon, s
          65          13  -31.0590000      -71.2839966      0.232066900     l, k, lat, lon, s
          72          30  -30.9190006      -71.6210022      0.328548610     l, k, lat, lon, s
          86          46  -30.6539993      -71.9290009      0.945549965     l, k, lat, lon, s
          88          51  -30.6140003      -72.0279999      0.858670890     l, k, lat, lon, s
          93          40  -30.5330009      -71.8020020      0.998423398     l, k, lat, lon, s
         108           4  -30.2900009      -71.0650024      0.285975009     l, k, lat, lon, s
         111          40  -30.2089996      -71.7839966       1.00000000     l, k, lat, lon, s
         114          10  -30.1779995      -71.1800003      0.366977781     l, k, lat, lon, s
