          27          31  -31.7299995      -71.6849976      0.253043652     l, k, lat, lon, s
          30          26  -31.6800003      -71.5800018      0.212124258     l, k, lat, lon, s
          39           3  -31.5349998      -71.1039963      0.369127870     l, k, lat, lon, s
          40          12  -31.5100002      -71.2860031      0.332638800     l, k, lat, lon, s
          42          25  -31.4640007      -71.5479965      0.325916857     l, k, lat, lon, s
          47           3  -31.3910007      -71.0970001      0.400936991     l, k, lat, lon, s
          47          70  -31.3349991      -72.4560013      0.703776598     l, k, lat, lon, s
          52           1  -31.3020000      -71.0520020      0.378970116     l, k, lat, lon, s
          54          67  -31.2119999      -72.3880005      0.697808325     l, k, lat, lon, s
          68          23  -30.9969997      -71.4830017      0.322872758     l, k, lat, lon, s
          86          50  -30.6509991      -72.0100021       1.00000000     l, k, lat, lon, s
          88           8  -30.6480007      -71.1630020      0.328058928     l, k, lat, lon, s
          88          29  -30.6320000      -71.5849991      0.339245111     l, k, lat, lon, s
          89          53  -30.5939999      -72.0670013      0.900693059     l, k, lat, lon, s
          91          20  -30.5849991      -71.4010010      0.284430265     l, k, lat, lon, s
          96          56  -30.4650002      -72.1200027      0.926494718     l, k, lat, lon, s
          97          52  -30.4510002      -72.0390015      0.843357623     l, k, lat, lon, s
         107          25  -30.2929993      -71.4869995      0.287541986     l, k, lat, lon, s
         112          17  -30.2089996      -71.3219986      0.282194346     l, k, lat, lon, s
         116          30  -30.1270008      -71.5790024      0.374268860     l, k, lat, lon, s
