           3          46  -32.1489983      -72.0240021      0.735049188     l, k, lat, lon, s
           6          13  -32.1230011      -71.3219986      0.686092138     l, k, lat, lon, s
           6          36  -32.1040001      -71.8089981      0.630993843     l, k, lat, lon, s
           9          20  -32.0629997      -71.4680023      0.615369141     l, k, lat, lon, s
          19           9  -31.8910007      -71.2259979      0.858068228     l, k, lat, lon, s
          24          23  -31.7900009      -71.5169983       1.00000000     l, k, lat, lon, s
          30          71  -31.6389999      -72.5220032      0.865967035     l, k, lat, lon, s
          36          51  -31.5499992      -72.0950012      0.779080272     l, k, lat, lon, s
          40          29  -31.4969997      -71.6279984      0.862576783     l, k, lat, lon, s
          43          22  -31.4489994      -71.4779968      0.945364118     l, k, lat, lon, s
          58          15  -31.1840000      -71.3170013      0.896829247     l, k, lat, lon, s
          60          50  -31.1189995      -72.0479965      0.796187520     l, k, lat, lon, s
          75          70  -30.8299999      -72.4499969      0.778186500     l, k, lat, lon, s
          80          34  -30.7719994      -71.6940002      0.832835376     l, k, lat, lon, s
          89          25  -30.6170006      -71.4980011      0.811872602     l, k, lat, lon, s
          93          24  -30.5459995      -71.4729996      0.766424298     l, k, lat, lon, s
          94          63  -30.4939995      -72.2839966      0.847577810     l, k, lat, lon, s
          96          64  -30.4570007      -72.3020020      0.835711777     l, k, lat, lon, s
          98          16  -30.4619999      -71.3020020      0.813655555     l, k, lat, lon, s
         119           4  -30.0930004      -71.0339966      0.748624742     l, k, lat, lon, s
