          17          56  -31.8880005      -72.2200012      0.792641282     l, k, lat, lon, s
          22          17  -31.8309994      -71.3919983      0.753436804     l, k, lat, lon, s
          22          38  -31.8139992      -71.8349991      0.878598034     l, k, lat, lon, s
          25          30  -31.7660007      -71.6640015      0.716968834     l, k, lat, lon, s
          33          35  -31.6180000      -71.7610016      0.790858507     l, k, lat, lon, s
          39          60  -31.4880009      -72.2809982      0.729854107     l, k, lat, lon, s
          44          40  -31.4160004      -71.8550034      0.990985394     l, k, lat, lon, s
          46          12  -31.4029999      -71.2649994      0.744526327     l, k, lat, lon, s
          51          46  -31.2840004      -71.9739990      0.860035300     l, k, lat, lon, s
          57          40  -31.1809998      -71.8420029      0.727796912     l, k, lat, lon, s
          57          48  -31.1739998      -72.0100021      0.581163704     l, k, lat, lon, s
          64          65  -31.0330009      -72.3580017      0.787037849     l, k, lat, lon, s
          66          50  -31.0100002      -72.0419998      0.718286157     l, k, lat, lon, s
          67          15  -31.0219994      -71.3089981      0.706245244     l, k, lat, lon, s
          75           3  -30.8869991      -71.0510025      0.697141230     l, k, lat, lon, s
          81           1  -30.7800007      -71.0039978      0.818661213     l, k, lat, lon, s
          86          55  -30.6459999      -72.1259995      0.721186161     l, k, lat, lon, s
          98          36  -30.4459991      -71.7180023      0.695404112     l, k, lat, lon, s
         102          55  -30.3570004      -72.1090012      0.750521839     l, k, lat, lon, s
         119           8  -30.0900002      -71.1169968      0.727368236     l, k, lat, lon, s
