           4          25  -32.1489983      -71.5780029       1.00000000     l, k, lat, lon, s
          10          59  -32.0110016      -72.2919998      0.704201818     l, k, lat, lon, s
          18          28  -31.8939991      -71.6279984      0.671225965     l, k, lat, lon, s
          26          45  -31.7360001      -71.9789963      0.645042658     l, k, lat, lon, s
          29          47  -31.6800003      -72.0179977      0.722984672     l, k, lat, lon, s
          29          60  -31.6679993      -72.2919998      0.739904940     l, k, lat, lon, s
          36          63  -31.5389996      -72.3470001      0.757006228     l, k, lat, lon, s
          39          53  -31.4939995      -72.1340027      0.591059268     l, k, lat, lon, s
          40          48  -31.4810009      -72.0270004      0.545193732     l, k, lat, lon, s
          42          24  -31.4650002      -71.5210037      0.793565154     l, k, lat, lon, s
          55          46  -31.2119999      -71.9700012      0.828137517     l, k, lat, lon, s
          63          33  -31.0790005      -71.6890030      0.675722599     l, k, lat, lon, s
          65          13  -31.0590000      -71.2689972      0.910062969     l, k, lat, lon, s
          72          30  -30.9200001      -71.6179962      0.746459723     l, k, lat, lon, s
          86          46  -30.6539993      -71.9380035      0.695478380     l, k, lat, lon, s
          88          51  -30.6130009      -72.0400009      0.684057057     l, k, lat, lon, s
          93          40  -30.5330009      -71.8059998      0.666834831     l, k, lat, lon, s
         108           4  -30.2910004      -71.0439987      0.701459885     l, k, lat, lon, s
         111          40  -30.2080002      -71.7880020      0.756069243     l, k, lat, lon, s
         114          10  -30.1779995      -71.1630020      0.739808679     l, k, lat, lon, s
