           7          22  -32.0970001      -71.5120010      0.792611301     l, k, lat, lon, s
          17          57  -31.8869991      -72.2419968      0.818131268     l, k, lat, lon, s
          18          10  -31.9090004      -71.2480011      0.753477395     l, k, lat, lon, s
          22          35  -31.8160000      -71.7720032      0.741889954     l, k, lat, lon, s
          44          43  -31.4130001      -71.9179993      0.912931025     l, k, lat, lon, s
          45          22  -31.4130001      -71.4759979      0.889956176     l, k, lat, lon, s
          47          38  -31.3630009      -71.8099976      0.989388525     l, k, lat, lon, s
          65           8  -31.0629997      -71.1640015       1.00000000     l, k, lat, lon, s
          65          35  -31.0419998      -71.7289963      0.560439825     l, k, lat, lon, s
          67          42  -30.9990005      -71.8740005      0.881031752     l, k, lat, lon, s
          75          28  -30.8670006      -71.5729980      0.861788273     l, k, lat, lon, s
          75          56  -30.8430004      -72.1579971      0.790645242     l, k, lat, lon, s
          80          21  -30.7830009      -71.4219971      0.971495390     l, k, lat, lon, s
          85          14  -30.6980000      -71.2720032      0.850651503     l, k, lat, lon, s
          87          33  -30.6469994      -71.6660004      0.602596402     l, k, lat, lon, s
          90          61  -30.5680008      -72.2460022      0.695369363     l, k, lat, lon, s
          92          21  -30.5660000      -71.4110031      0.848391593     l, k, lat, lon, s
         100          32  -30.4130001      -71.6330032      0.597863138     l, k, lat, lon, s
         100          66  -30.3829994      -72.3389969      0.705781639     l, k, lat, lon, s
         110          13  -30.2479992      -71.2289963      0.747907758     l, k, lat, lon, s
