           9          17  -32.0649986      -71.4039993      0.815068722     l, k, lat, lon, s
          13          43  -31.9720001      -71.9499969      0.763951480     l, k, lat, lon, s
          16          27  -31.9309998      -71.6090012      0.758746147     l, k, lat, lon, s
          17          60  -31.8840008      -72.3050003      0.575789034     l, k, lat, lon, s
          29          68  -31.6599998      -72.4599991      0.936955035     l, k, lat, lon, s
          41          29  -31.4790001      -71.6269989      0.755782008     l, k, lat, lon, s
          50          12  -31.3299999      -71.2610016      0.657722533     l, k, lat, lon, s
          52          65  -31.2490005      -72.3710022      0.857466340     l, k, lat, lon, s
          55          64  -31.1959991      -72.3470001      0.786103368     l, k, lat, lon, s
          60          55  -31.1140003      -72.1529999      0.810537696     l, k, lat, lon, s
          66          47  -31.0130005      -71.9789963      0.818417013     l, k, lat, lon, s
          72          22  -30.9260006      -71.4509964      0.752180517     l, k, lat, lon, s
          83          16  -30.7329998      -71.3150024      0.763365448     l, k, lat, lon, s
          85          56  -30.6630001      -72.1470032      0.897034168     l, k, lat, lon, s
          90          29  -30.5960007      -71.5800018      0.837379038     l, k, lat, lon, s
          93          68  -30.5070000      -72.3889999      0.697452843     l, k, lat, lon, s
         101          48  -30.3820000      -71.9639969      0.849624097     l, k, lat, lon, s
         113          69  -30.1459999      -72.3870010      0.755169809     l, k, lat, lon, s
         114          33  -30.1599998      -71.6399994      0.795000672     l, k, lat, lon, s
         121          56  -30.0139999      -72.1100006      0.751783371     l, k, lat, lon, s
