           4          67  -32.1110001      -72.4670029      0.914483547     l, k, lat, lon, s
          14          32  -31.9629993      -71.7170029      0.717714012     l, k, lat, lon, s
          17          17  -31.9209995      -71.3970032       1.00000000     l, k, lat, lon, s
          19          34  -31.8710003      -71.7539978      0.784427106     l, k, lat, lon, s
          20          44  -31.8449993      -71.9639969      0.883395135     l, k, lat, lon, s
          29          27  -31.6970005      -71.5960007      0.885641038     l, k, lat, lon, s
          38           2  -31.5540009      -71.0619965      0.863216937     l, k, lat, lon, s
          40          34  -31.4930000      -71.7330017      0.872509360     l, k, lat, lon, s
          46          48  -31.3729992      -72.0210037      0.643938959     l, k, lat, lon, s
          46          60  -31.3619995      -72.2730026      0.768390417     l, k, lat, lon, s
          50          42  -31.3059998      -71.8909988      0.861914277     l, k, lat, lon, s
          71          60  -30.9109993      -72.2460022      0.913495481     l, k, lat, lon, s
          75          42  -30.8549995      -71.8659973      0.881652534     l, k, lat, lon, s
          87          70  -30.6130009      -72.4369965      0.704447091     l, k, lat, lon, s
          89          17  -30.6240005      -71.3310013      0.892975330     l, k, lat, lon, s
         100          15  -30.4270000      -71.2789993      0.811045587     l, k, lat, lon, s
         109          45  -30.2399998      -71.8939972      0.987828016     l, k, lat, lon, s
         113          12  -30.1949997      -71.2050018      0.455550283     l, k, lat, lon, s
         114          11  -30.1779995      -71.1839981      0.435648352     l, k, lat, lon, s
         115           2  -30.1660004      -70.9960022      0.904752851     l, k, lat, lon, s
