           3          68  -32.1300011      -72.4649963      0.477607191     l, k, lat, lon, s
          13          68  -31.9489994      -72.4540024      0.455277652     l, k, lat, lon, s
          25          46  -31.7530003      -71.9919968      0.696400583     l, k, lat, lon, s
          32          63  -31.6119995      -72.3310013      0.565017104     l, k, lat, lon, s
          37          31  -31.5489998      -71.6750031      0.799941897     l, k, lat, lon, s
          38          17  -31.5419998      -71.3899994      0.837969065     l, k, lat, lon, s
          45          19  -31.4150009      -71.4240036      0.906026602     l, k, lat, lon, s
          46           9  -31.4039993      -71.2200012       1.00000000     l, k, lat, lon, s
          46          45  -31.3759995      -71.9499969      0.665176749     l, k, lat, lon, s
          49          51  -31.3160000      -72.0690002      0.477042437     l, k, lat, lon, s
          76          39  -30.8400002      -71.7979965      0.578524649     l, k, lat, lon, s
          82          58  -30.7159996      -72.1750031      0.628954530     l, k, lat, lon, s
          88          47  -30.6170006      -71.9479980      0.634150207     l, k, lat, lon, s
          91          16  -30.5879993      -71.3209991      0.886596501     l, k, lat, lon, s
         100          18  -30.4239998      -71.3529968      0.856583416     l, k, lat, lon, s
         109          52  -30.2339993      -72.0260010      0.548069537     l, k, lat, lon, s
         117          42  -30.0990009      -71.8180008      0.893356323     l, k, lat, lon, s
         117          44  -30.0970001      -71.8580017      0.840761840     l, k, lat, lon, s
         118          18  -30.1000004      -71.3369980      0.889558434     l, k, lat, lon, s
         120          32  -30.0529995      -71.6149979      0.854721904     l, k, lat, lon, s
