           1          34  -32.1959991      -71.7720032      0.896955311     l, k, lat, lon, s
           7          54  -32.0699997      -72.1750031      0.670423806     l, k, lat, lon, s
           8           4  -32.0929985      -71.1520004      0.874835849     l, k, lat, lon, s
          21          42  -31.8290005      -71.9150009      0.568677962     l, k, lat, lon, s
          22          28  -31.8220005      -71.6289978      0.878027618     l, k, lat, lon, s
          23          17  -31.8129997      -71.4029999      0.920316756     l, k, lat, lon, s
          27          41  -31.7210007      -71.8880005      0.702766955     l, k, lat, lon, s
          28          21  -31.7189999      -71.4800034      0.927809894     l, k, lat, lon, s
          29          13  -31.7080002      -71.3160019      0.734166801     l, k, lat, lon, s
          35           3  -31.6070004      -71.1080017      0.952389479     l, k, lat, lon, s
          35          52  -31.5680008      -72.1039963      0.559371114     l, k, lat, lon, s
          51           2  -31.3190002      -71.0729980       1.00000000     l, k, lat, lon, s
          71          16  -30.9480000      -71.3389969      0.867971480     l, k, lat, lon, s
          76           5  -30.8659992      -71.1129990      0.946535528     l, k, lat, lon, s
          81          39  -30.7500000      -71.7939987      0.767517328     l, k, lat, lon, s
          82           5  -30.7579994      -71.1070023      0.968473852     l, k, lat, lon, s
          91          17  -30.5869999      -71.3410034      0.959688962     l, k, lat, lon, s
         100          59  -30.3899994      -72.1760025      0.557852685     l, k, lat, lon, s
         106          11  -30.3209991      -71.2070007      0.910529554     l, k, lat, lon, s
         116          37  -30.1210003      -71.7190018      0.666888833     l, k, lat, lon, s
