           1          38  -32.1920013      -71.8539963      0.704310000     l, k, lat, lon, s
           2          31  -32.1800003      -71.7099991      0.835030854     l, k, lat, lon, s
           2          36  -32.1759987      -71.8119965      0.407131284     l, k, lat, lon, s
           8          22  -32.0789986      -71.5199966      0.752568722     l, k, lat, lon, s
          27          26  -31.7339993      -71.5830002      0.858702242     l, k, lat, lon, s
          37          22  -31.5569992      -71.4919968      0.817488968     l, k, lat, lon, s
          44          21  -31.4309998      -71.4649963      0.891701639     l, k, lat, lon, s
          52          34  -31.2770004      -71.7210007      0.875369072     l, k, lat, lon, s
          54          32  -31.2420006      -71.6790009      0.832123578     l, k, lat, lon, s
          54          56  -31.2220001      -72.1650009      0.613478363     l, k, lat, lon, s
          65          56  -31.0240002      -72.1529999      0.572134495     l, k, lat, lon, s
          73          16  -30.9120007      -71.3369980      0.898963630     l, k, lat, lon, s
          75           4  -30.8850002      -71.0930023      0.998846471     l, k, lat, lon, s
          81          23  -30.7630005      -71.4710007      0.918248534     l, k, lat, lon, s
          82           8  -30.7560005      -71.1679993      0.975385249     l, k, lat, lon, s
          91          23  -30.5830002      -71.4619980       1.00000000     l, k, lat, lon, s
         103          43  -30.3500004      -71.8519974      0.602362216     l, k, lat, lon, s
         106          14  -30.3190002      -71.2669983      0.944514096     l, k, lat, lon, s
         116          67  -30.0949993      -72.3190002      0.546253979     l, k, lat, lon, s
         118          42  -30.0809994      -71.8170013      0.620517433     l, k, lat, lon, s
