          15           3  -31.9669991      -71.1250000      0.921888232     l, k, lat, lon, s
          16          27  -31.9309998      -71.6139984      0.741381705     l, k, lat, lon, s
          17          60  -31.8850002      -72.2860031      0.488120884     l, k, lat, lon, s
          20          66  -31.8250008      -72.4049988      0.511939347     l, k, lat, lon, s
          23          26  -31.8059998      -71.5869980      0.878098309     l, k, lat, lon, s
          30          17  -31.6870003      -71.3970032      0.806293130     l, k, lat, lon, s
          44          46  -31.4109993      -71.9729996      0.611873388     l, k, lat, lon, s
          50          12  -31.3299999      -71.2770004      0.813289881     l, k, lat, lon, s
          50          55  -31.2950001      -72.1490021      0.498975009     l, k, lat, lon, s
          55          64  -31.1970005      -72.3259964      0.577225983     l, k, lat, lon, s
          66          47  -31.0130005      -71.9700012      0.550405443     l, k, lat, lon, s
          72          22  -30.9260006      -71.4589996      0.851010442     l, k, lat, lon, s
          75           9  -30.8820000      -71.1940002      0.905484736     l, k, lat, lon, s
          77          35  -30.8250008      -71.7170029      0.682095885     l, k, lat, lon, s
          83           2  -30.7420006      -71.0459976       1.00000000     l, k, lat, lon, s
          83          16  -30.7320004      -71.3280029      0.883216858     l, k, lat, lon, s
          93          68  -30.5079994      -72.3649979      0.473602086     l, k, lat, lon, s
         101          48  -30.3820000      -71.9540024      0.640484273     l, k, lat, lon, s
         113          69  -30.1469994      -72.3629990      0.438418567     l, k, lat, lon, s
         121          56  -30.0149994      -72.0940018      0.582241952     l, k, lat, lon, s
