          11          20  -32.0270004      -71.4759979      0.816883028     l, k, lat, lon, s
          11          52  -32.0000000      -72.1299973      0.599145055     l, k, lat, lon, s
          24           1  -31.8059998      -71.0759964       1.00000000     l, k, lat, lon, s
          25          57  -31.7430000      -72.2160034      0.689314485     l, k, lat, lon, s
          31           2  -31.6800003      -71.0910034      0.995626509     l, k, lat, lon, s
          34          37  -31.5979996      -71.8000031      0.800632775     l, k, lat, lon, s
          42          38  -31.4540005      -71.8119965      0.754027009     l, k, lat, lon, s
          49          22  -31.3400002      -71.4810028      0.824796855     l, k, lat, lon, s
          61          65  -31.0879993      -72.3389969      0.620686650     l, k, lat, lon, s
          62          14  -31.1119995      -71.3069992      0.839577198     l, k, lat, lon, s
          62          22  -31.1060009      -71.4690018      0.894358575     l, k, lat, lon, s
          67          39  -31.0020008      -71.8069992      0.600306988     l, k, lat, lon, s
          75          16  -30.8759995      -71.3349991      0.910087705     l, k, lat, lon, s
          78          21  -30.8180008      -71.4339981      0.932845891     l, k, lat, lon, s
          84          47  -30.6889992      -71.9520035      0.726522028     l, k, lat, lon, s
          89          30  -30.6130009      -71.6050034      0.872551799     l, k, lat, lon, s
          94          53  -30.5039997      -72.0619965      0.561783433     l, k, lat, lon, s
         105          60  -30.2989998      -72.1910019      0.616209149     l, k, lat, lon, s
         116          43  -30.1159992      -71.8389969      0.704768360     l, k, lat, lon, s
         117          62  -30.0809994      -72.2180023      0.544484019     l, k, lat, lon, s
