           7          22  -32.0970001      -71.5210037      0.746827900     l, k, lat, lon, s
          17          57  -31.8869991      -72.2249985      0.578226328     l, k, lat, lon, s
          18          10  -31.9080009      -71.2649994      0.999914050     l, k, lat, lon, s
          22          35  -31.8160000      -71.7710037      0.712111950     l, k, lat, lon, s
          44          43  -31.4130001      -71.9120026      0.494709373     l, k, lat, lon, s
          45          22  -31.4120007      -71.4850006      0.957610965     l, k, lat, lon, s
          47          38  -31.3630009      -71.8069992      0.695388675     l, k, lat, lon, s
          65           8  -31.0629997      -71.1829987       1.00000000     l, k, lat, lon, s
          65          35  -31.0419998      -71.7289963      0.692018092     l, k, lat, lon, s
          67          42  -31.0000000      -71.8679962      0.677779913     l, k, lat, lon, s
          75          28  -30.8670006      -71.5780029      0.643479586     l, k, lat, lon, s
          75          56  -30.8439999      -72.1419983      0.665783823     l, k, lat, lon, s
          80          21  -30.7819996      -71.4319992      0.851363242     l, k, lat, lon, s
          85          14  -30.6980000      -71.2860031      0.932185292     l, k, lat, lon, s
          87          33  -30.6469994      -71.6669998      0.818206370     l, k, lat, lon, s
          90          61  -30.5690002      -72.2269974      0.624730647     l, k, lat, lon, s
          92          21  -30.5660000      -71.4209976      0.967707992     l, k, lat, lon, s
         100          32  -30.4130001      -71.6340027      0.856354654     l, k, lat, lon, s
         100          66  -30.3840008      -72.3170013      0.663084805     l, k, lat, lon, s
         110          13  -30.2479992      -71.2440033      0.878329217     l, k, lat, lon, s
