           4          31  -32.1440010      -71.7080002      0.935601890     l, k, lat, lon, s
           5          17  -32.1370010      -71.4199982      0.803242922     l, k, lat, lon, s
          12          52  -31.9820004      -72.1279984      0.591659009     l, k, lat, lon, s
          12          64  -31.9710007      -72.3730011      0.793612182     l, k, lat, lon, s
          14          52  -31.9459991      -72.1259995      0.669467270     l, k, lat, lon, s
          24          62  -31.7570000      -72.3190002      0.535756528     l, k, lat, lon, s
          25          61  -31.7399998      -72.2979965      0.556506336     l, k, lat, lon, s
          33          24  -31.6270008      -71.5370026      0.613795877     l, k, lat, lon, s
          44          50  -31.4069996      -72.0540009      0.639201283     l, k, lat, lon, s
          56          20  -31.2159996      -71.4339981      0.691609085     l, k, lat, lon, s
          64          71  -31.0279999      -72.4570007      0.855088770     l, k, lat, lon, s
          71          37  -30.9319992      -71.7630005      0.664126754     l, k, lat, lon, s
          82          70  -30.7049999      -72.4169998      0.538877368     l, k, lat, lon, s
          84          62  -30.6760006      -72.2539978      0.974926353     l, k, lat, lon, s
          86          44  -30.6560001      -71.8889999      0.627411723     l, k, lat, lon, s
          88          57  -30.6079998      -72.1490021      0.825562835     l, k, lat, lon, s
          88          60  -30.6060009      -72.2089996      0.845054567     l, k, lat, lon, s
          92          22  -30.5650005      -71.4410019      0.654538572     l, k, lat, lon, s
         105          37  -30.3190002      -71.7300034      0.732334018     l, k, lat, lon, s
         120          39  -30.0470009      -71.7549973      0.652599454     l, k, lat, lon, s
