           9          17  -32.0649986      -71.4169998      0.753001988     l, k, lat, lon, s
          13          43  -31.9720001      -71.9440002      0.759429932     l, k, lat, lon, s
          16          27  -31.9309998      -71.6139984      0.728543639     l, k, lat, lon, s
          17          60  -31.8850002      -72.2860031      0.872769713     l, k, lat, lon, s
          29          68  -31.6609993      -72.4359970      0.653846145     l, k, lat, lon, s
          41          29  -31.4790001      -71.6309967      0.721913278     l, k, lat, lon, s
          50          12  -31.3299999      -71.2770004      0.721418142     l, k, lat, lon, s
          52          65  -31.2500000      -72.3489990       1.00000000     l, k, lat, lon, s
          55          64  -31.1970005      -72.3259964      0.924390197     l, k, lat, lon, s
          60          55  -31.1149998      -72.1380005      0.662757277     l, k, lat, lon, s
          66          47  -31.0130005      -71.9700012      0.793784618     l, k, lat, lon, s
          72          22  -30.9260006      -71.4589996      0.528885663     l, k, lat, lon, s
          83          16  -30.7320004      -71.3280029      0.616496623     l, k, lat, lon, s
          85          56  -30.6630001      -72.1320038      0.785568953     l, k, lat, lon, s
          90          29  -30.5960007      -71.5830002      0.773040056     l, k, lat, lon, s
          93          68  -30.5079994      -72.3649979      0.474397689     l, k, lat, lon, s
         101          48  -30.3820000      -71.9540024      0.748966694     l, k, lat, lon, s
         113          69  -30.1469994      -72.3629990      0.538446963     l, k, lat, lon, s
         114          33  -30.1599998      -71.6409988      0.759562850     l, k, lat, lon, s
         121          56  -30.0149994      -72.0940018      0.776797593     l, k, lat, lon, s
