          13          23  -31.9880009      -71.5350037      0.677123547     l, k, lat, lon, s
          17          14  -31.9230003      -71.3479996      0.768531203     l, k, lat, lon, s
          19          15  -31.8859997      -71.3659973      0.591145158     l, k, lat, lon, s
          22          22  -31.8269997      -71.5059967      0.809962034     l, k, lat, lon, s
          28          14  -31.7250004      -71.3379974      0.784769416     l, k, lat, lon, s
          31           7  -31.6760006      -71.1930008      0.780579090     l, k, lat, lon, s
          36           6  -31.5869999      -71.1679993      0.757075965     l, k, lat, lon, s
          50          33  -31.3129997      -71.7030029      0.857299209     l, k, lat, lon, s
          64           5  -31.0830002      -71.1230011       1.00000000     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.781613827     l, k, lat, lon, s
          67          36  -31.0049992      -71.7470016      0.888754010     l, k, lat, lon, s
          73          22  -30.9080009      -71.4580002      0.448318034     l, k, lat, lon, s
          74          19  -30.8920002      -71.3970032      0.537545145     l, k, lat, lon, s
          84          65  -30.6730003      -72.3140030      0.832457900     l, k, lat, lon, s
          87          38  -30.6429996      -71.7669983      0.774988353     l, k, lat, lon, s
          94          16  -30.5340004      -71.3180008      0.732983410     l, k, lat, lon, s
          96          20  -30.4950008      -71.3970032      0.794244051     l, k, lat, lon, s
          98          51  -30.4330006      -72.0179977      0.739156067     l, k, lat, lon, s
         101          63  -30.3689995      -72.2549973      0.846786082     l, k, lat, lon, s
         116          59  -30.1019993      -72.1589966      0.766091526     l, k, lat, lon, s
