          13          23  -31.9880009      -71.5350037      0.703443587     l, k, lat, lon, s
          16          45  -31.9160004      -71.9810028      0.610728979     l, k, lat, lon, s
          18          30  -31.8929996      -71.6729965      0.649089217     l, k, lat, lon, s
          26          31  -31.7479992      -71.6859970      0.719307303     l, k, lat, lon, s
          27          43  -31.7199993      -71.9290009      0.642098069     l, k, lat, lon, s
          36           6  -31.5869999      -71.1679993      0.697087228     l, k, lat, lon, s
          49          58  -31.3099995      -72.2109985      0.564149320     l, k, lat, lon, s
          64          12  -31.0779991      -71.2649994      0.679937720     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.667884827     l, k, lat, lon, s
          67          36  -31.0049992      -71.7470016      0.744197071     l, k, lat, lon, s
          73          22  -30.9080009      -71.4580002      0.579925716     l, k, lat, lon, s
          74          19  -30.8920002      -71.3970032      0.568302751     l, k, lat, lon, s
          74          26  -30.8869991      -71.5380020      0.696514368     l, k, lat, lon, s
          79          20  -30.8010006      -71.4120026      0.776151359     l, k, lat, lon, s
          84          65  -30.6730003      -72.3140030      0.873391807     l, k, lat, lon, s
          87          38  -30.6429996      -71.7669983      0.937316179     l, k, lat, lon, s
          94          16  -30.5340004      -71.3180008      0.719125271     l, k, lat, lon, s
         101          63  -30.3689995      -72.2549973      0.644431055     l, k, lat, lon, s
         102          21  -30.3859997      -71.4110031      0.820090175     l, k, lat, lon, s
         117          22  -30.1149998      -71.4179993      0.574385762     l, k, lat, lon, s
