           1          49  -32.1829987      -72.0790024      0.681766450     l, k, lat, lon, s
          11          38  -32.0120010      -71.8440018      0.661785007     l, k, lat, lon, s
          19          56  -31.8519993      -72.2020035      0.630747736     l, k, lat, lon, s
          21          33  -31.8360004      -71.7320023      0.714796126     l, k, lat, lon, s
          23           6  -31.8209991      -71.1790009      0.748559594     l, k, lat, lon, s
          30          64  -31.6469994      -72.3529968      0.549607158     l, k, lat, lon, s
          39          50  -31.4969997      -72.0589981      0.624604344     l, k, lat, lon, s
          52          63  -31.2520008      -72.3089981      0.415914536     l, k, lat, lon, s
          55          53  -31.2059994      -72.1029968      0.502594709     l, k, lat, lon, s
          64          54  -31.0429993      -72.1139984      0.573222756     l, k, lat, lon, s
          66           7  -31.0450001      -71.1620026      0.863098383     l, k, lat, lon, s
          72          68  -30.8869991      -72.3880005      0.331462830     l, k, lat, lon, s
          83          64  -30.6919994      -72.2949982      0.618896186     l, k, lat, lon, s
          86          66  -30.6359997      -72.3320007      0.422712654     l, k, lat, lon, s
          92           9  -30.5750008      -71.1790009      0.832075179     l, k, lat, lon, s
         105           3  -30.3449993      -71.0469971       1.00000000     l, k, lat, lon, s
         107          21  -30.2959995      -71.4069977      0.750075161     l, k, lat, lon, s
         114          60  -30.1369991      -72.1809998      0.306464851     l, k, lat, lon, s
         118          60  -30.0650005      -72.1770020      0.624636471     l, k, lat, lon, s
         121          65  -30.0070000      -72.2740021      0.388176650     l, k, lat, lon, s
