          14          41  -31.9549999      -71.9020004      0.540134847     l, k, lat, lon, s
          14          49  -31.9489994      -72.0650024      0.617930949     l, k, lat, lon, s
          16           3  -31.9489994      -71.1240005      0.953900158     l, k, lat, lon, s
          16          58  -31.9050007      -72.2470016      0.605828643     l, k, lat, lon, s
          20          34  -31.8530006      -71.7529984      0.691330314     l, k, lat, lon, s
          29          11  -31.7089996      -71.2760010      0.809478343     l, k, lat, lon, s
          34          32  -31.6030006      -71.6979980      0.708992243     l, k, lat, lon, s
          41          32  -31.4759998      -71.6910019      0.721933424     l, k, lat, lon, s
          45          47  -31.3920002      -71.9919968      0.700393438     l, k, lat, lon, s
          45          70  -31.3710003      -72.4580002      0.420903474     l, k, lat, lon, s
          75          46  -30.8519993      -71.9410019      0.597374916     l, k, lat, lon, s
          84          23  -30.7089996      -71.4680023      0.577416420     l, k, lat, lon, s
          94           7  -30.5410004      -71.1370010      0.941685796     l, k, lat, lon, s
         100          15  -30.4260006      -71.2929993      0.930876195     l, k, lat, lon, s
         102          68  -30.3460007      -72.3550034      0.506245911     l, k, lat, lon, s
         113          30  -30.1809998      -71.5820007      0.729132295     l, k, lat, lon, s
         117          27  -30.1110001      -71.5179977      0.906422555     l, k, lat, lon, s
         118          10  -30.1060009      -71.1770020       1.00000000     l, k, lat, lon, s
         119          28  -30.0739994      -71.5360031      0.868996680     l, k, lat, lon, s
         120          59  -30.0300007      -72.1549988      0.564210773     l, k, lat, lon, s
