          19          15  -31.8859997      -71.3659973      0.768961370     l, k, lat, lon, s
          19          69  -31.8400002      -72.4670029      0.414363354     l, k, lat, lon, s
          32          35  -31.6359997      -71.7610016      0.664967418     l, k, lat, lon, s
          49          43  -31.3230000      -71.9069977      0.546853125     l, k, lat, lon, s
          67          45  -30.9969997      -71.9290009      0.558856487     l, k, lat, lon, s
          67          64  -30.9799995      -72.3119965      0.592575073     l, k, lat, lon, s
          74          33  -30.8810005      -71.6790009      0.616474569     l, k, lat, lon, s
          74          49  -30.8680000      -72.0019989      0.530445099     l, k, lat, lon, s
          80           8  -30.7919998      -71.1699982      0.852057040     l, k, lat, lon, s
          80          30  -30.7749996      -71.6129990      0.893053889     l, k, lat, lon, s
          80          33  -30.7730007      -71.6740036      0.867545784     l, k, lat, lon, s
          82          58  -30.7159996      -72.1750031      0.374841362     l, k, lat, lon, s
          87          22  -30.6550007      -71.4449997      0.653903484     l, k, lat, lon, s
          88          70  -30.5970001      -72.4100037      0.417228311     l, k, lat, lon, s
         109           3  -30.2730007      -71.0439987      0.775224328     l, k, lat, lon, s
         109          31  -30.2520008      -71.6060028      0.618346632     l, k, lat, lon, s
         112           7  -30.2159996      -71.1220016      0.818420827     l, k, lat, lon, s
         118          20  -30.0979996      -71.3769989      0.823519707     l, k, lat, lon, s
         118          44  -30.0790005      -71.8570023      0.604271114     l, k, lat, lon, s
         121          23  -30.0419998      -71.4339981      0.759240031     l, k, lat, lon, s
