           7          14  -32.1030006      -71.3570023      0.695181489     l, k, lat, lon, s
          27          31  -31.7299995      -71.6849976      0.568741381     l, k, lat, lon, s
          30          26  -31.6800003      -71.5800018      0.563801348     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.733162045     l, k, lat, lon, s
          39           3  -31.5349998      -71.1039963      0.762659252     l, k, lat, lon, s
          47           3  -31.3910007      -71.0970001      0.902230263     l, k, lat, lon, s
          50          28  -31.3180008      -71.6019974      0.802723408     l, k, lat, lon, s
          52           1  -31.3020000      -71.0520020      0.744448602     l, k, lat, lon, s
          52          22  -31.2859993      -71.4779968      0.925349295     l, k, lat, lon, s
          53          19  -31.2709999      -71.4160004      0.980621815     l, k, lat, lon, s
          68          23  -30.9969997      -71.4830017      0.970852494     l, k, lat, lon, s
          89          25  -30.6170006      -71.5039978       1.00000000     l, k, lat, lon, s
          89          53  -30.5939999      -72.0670013      0.500930548     l, k, lat, lon, s
          91          20  -30.5849991      -71.4010010      0.781051159     l, k, lat, lon, s
          97          52  -30.4510002      -72.0390015      0.343393177     l, k, lat, lon, s
          99          31  -30.4319992      -71.6149979      0.711844027     l, k, lat, lon, s
         102          32  -30.3770008      -71.6320038      0.739830256     l, k, lat, lon, s
         105          64  -30.2959995      -72.2710037      0.526399195     l, k, lat, lon, s
         106          56  -30.2849998      -72.1100006      0.646576822     l, k, lat, lon, s
         107          25  -30.2929993      -71.4869995      0.778292537     l, k, lat, lon, s
