           4          25  -32.1489983      -71.5849991      0.209306225     l, k, lat, lon, s
          10          59  -32.0120010      -72.2740021      0.734465361     l, k, lat, lon, s
          11          20  -32.0270004      -71.4759979      0.276374847     l, k, lat, lon, s
          11          52  -32.0000000      -72.1299973      0.820185304     l, k, lat, lon, s
          26          45  -31.7360001      -71.9710007      0.758011341     l, k, lat, lon, s
          29          47  -31.6800003      -72.0090027      0.685776949     l, k, lat, lon, s
          40          48  -31.4810009      -72.0169983      0.737962842     l, k, lat, lon, s
          42          38  -31.4540005      -71.8119965      0.914611340     l, k, lat, lon, s
          49          22  -31.3400002      -71.4810028      0.296527892     l, k, lat, lon, s
          55          46  -31.2129993      -71.9609985      0.876841009     l, k, lat, lon, s
          61          65  -31.0879993      -72.3389969      0.978837490     l, k, lat, lon, s
          72          30  -30.9190006      -71.6210022      0.247682005     l, k, lat, lon, s
          75          16  -30.8759995      -71.3349991      0.202021256     l, k, lat, lon, s
          78          21  -30.8180008      -71.4339981      0.220785379     l, k, lat, lon, s
          84          47  -30.6889992      -71.9520035      0.821093321     l, k, lat, lon, s
          86          46  -30.6539993      -71.9290009      0.686926663     l, k, lat, lon, s
          88          51  -30.6140003      -72.0279999      0.905035377     l, k, lat, lon, s
          89          30  -30.6130009      -71.6050034      0.267429948     l, k, lat, lon, s
         105          60  -30.2989998      -72.1910019      0.946654856     l, k, lat, lon, s
         111          40  -30.2089996      -71.7839966       1.00000000     l, k, lat, lon, s
