          16          58  -31.9050007      -72.2470016      0.567500412     l, k, lat, lon, s
          29           2  -31.7159996      -71.0920029      0.255722314     l, k, lat, lon, s
          32          41  -31.6310005      -71.8830032      0.869477153     l, k, lat, lon, s
          32          55  -31.6189995      -72.1679993      0.845704496     l, k, lat, lon, s
          35          58  -31.5620003      -72.2259979      0.835339844     l, k, lat, lon, s
          44          49  -31.4080009      -72.0329971      0.857375205     l, k, lat, lon, s
          47          32  -31.3680000      -71.6859970      0.238210961     l, k, lat, lon, s
          49          64  -31.3050003      -72.3320007      0.693533957     l, k, lat, lon, s
          60          11  -31.1499996      -71.2480011      0.236935139     l, k, lat, lon, s
          66          56  -31.0060005      -72.1520004      0.863372147     l, k, lat, lon, s
          68          48  -30.9769993      -71.9879990      0.819954097     l, k, lat, lon, s
          74          59  -30.8589993      -72.2040024      0.673486292     l, k, lat, lon, s
          76           8  -30.8640003      -71.1729965      0.257493019     l, k, lat, lon, s
          78          39  -30.8040009      -71.7959976      0.797959447     l, k, lat, lon, s
          79          48  -30.7779999      -71.9769974      0.957111001     l, k, lat, lon, s
          87          40  -30.6410007      -71.8079987      0.803848326     l, k, lat, lon, s
         102          47  -30.3649998      -71.9329987      0.855082929     l, k, lat, lon, s
         102          65  -30.3490009      -72.2949982      0.962597847     l, k, lat, lon, s
         103           1  -30.3829994      -71.0090027      0.241207704     l, k, lat, lon, s
         118          40  -30.0820007      -71.7770004       1.00000000     l, k, lat, lon, s
