           3          37  -32.1570015      -71.8310013      0.750799179     l, k, lat, lon, s
          13          48  -31.9669991      -72.0459976      0.936556756     l, k, lat, lon, s
          17           2  -31.9319992      -71.1029968      0.162542060     l, k, lat, lon, s
          26          53  -31.7290001      -72.1340027       1.00000000     l, k, lat, lon, s
          27          13  -31.7439995      -71.3180008      0.254911602     l, k, lat, lon, s
          40          46  -31.4829998      -71.9769974      0.757619441     l, k, lat, lon, s
          41          51  -31.4599991      -72.0770035      0.728692770     l, k, lat, lon, s
          47          51  -31.3519993      -72.0709991      0.837975144     l, k, lat, lon, s
          49          54  -31.3139992      -72.1299973      0.972687066     l, k, lat, lon, s
          54          53  -31.2240009      -72.1039963      0.843090773     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.778914452     l, k, lat, lon, s
          73          28  -30.9029999      -71.5800018      0.276201785     l, k, lat, lon, s
          79          35  -30.7889996      -71.7149963      0.751314402     l, k, lat, lon, s
          79          64  -30.7639999      -72.2990036      0.707563281     l, k, lat, lon, s
          80          62  -30.7479992      -72.2580032      0.733194828     l, k, lat, lon, s
          82          31  -30.7380009      -71.6309967      0.286815852     l, k, lat, lon, s
          92          35  -30.5550003      -71.7020035      0.870685220     l, k, lat, lon, s
         104          17  -30.3530006      -71.3290024      0.262200385     l, k, lat, lon, s
         109           5  -30.2719994      -71.0839996      0.177198023     l, k, lat, lon, s
         117          69  -30.0750008      -72.3580017      0.688923299     l, k, lat, lon, s
