          13          64  -31.9529991      -72.3720016      0.947169006     l, k, lat, lon, s
          17          53  -31.8910007      -72.1429977      0.782818377     l, k, lat, lon, s
          24           1  -31.8059998      -71.0759964      0.296691149     l, k, lat, lon, s
          25          57  -31.7430000      -72.2160034      0.867782354     l, k, lat, lon, s
          31           2  -31.6800003      -71.0910034      0.185039252     l, k, lat, lon, s
          33          57  -31.5990009      -72.2080002      0.763089240     l, k, lat, lon, s
          34          37  -31.5979996      -71.8000031      0.891050458     l, k, lat, lon, s
          41          47  -31.4640007      -71.9960022      0.881591141     l, k, lat, lon, s
          56          45  -31.1949997      -71.9400024      0.848470509     l, k, lat, lon, s
          62          14  -31.1119995      -71.3069992      0.244896606     l, k, lat, lon, s
          62          22  -31.1060009      -71.4690018      0.203818411     l, k, lat, lon, s
          66           9  -31.0440006      -71.2020035      0.364239722     l, k, lat, lon, s
          67          39  -31.0020008      -71.8069992      0.768126845     l, k, lat, lon, s
          78          21  -30.8180008      -71.4339981      0.241357788     l, k, lat, lon, s
          93          11  -30.5559998      -71.2190018      0.184281319     l, k, lat, lon, s
          94          53  -30.5039997      -72.0619965      0.830392778     l, k, lat, lon, s
          98          59  -30.4260006      -72.1780014      0.935588360     l, k, lat, lon, s
         106          18  -30.3160000      -71.3479996      0.231285885     l, k, lat, lon, s
         116          43  -30.1159992      -71.8389969      0.907703578     l, k, lat, lon, s
         117          62  -30.0809994      -72.2180023       1.00000000     l, k, lat, lon, s
